7236.9518 	45.4 	6.0 	fiber
7237.0353 	65.5 	5.2 	fiber
7237.1004 	87.8 	6.4 	fiber
7237.9748 	84.3 	6.5 	fiber
7238.0797 	52.6 	7.8 	fiber
7245.9833 	-47.8 	12.1 	fiber
7261.9322 	1.4 	5.9 	fiber
7283.9374 	-86.6 	5.1 	fiber
7361.3642 	50.7 	5.7 	fiber
7378.3169 	-48.9 	5.4 	fiber
7392.3057 	29.4 	5.0 	fiber
7403.3149 	-72.4 	5.0 	fiber
7424.3562 	66.5 	4.7 	fiber
7508.2007 	108.4 	5.7 	fiber
7523.1142 	-64.3 	5.5 	fiber
7542.1946 	59.0 	5.6 	fiber
